content,fake,processed_text,stemmer,sentiment_score,emotions,emotion_2
a mobile covid 19 testing station bears a logo that depicts an ancient deity of death ,1,"['mobile', 'covid', '19', 'testing', 'station', 'bears', 'logo', 'depicts', 'ancient', 'deity', 'death']","['mobil', 'covid', '19', 'test', 'station', 'bear', 'logo', 'depict', 'ancient', 'deiti', 'death']",-0.5994,"{'fear': 0.1111111111111111, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.1111111111111111, 'positive': 0.0, 'negative': 0.2222222222222222, 'sadness': 0.1111111111111111, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.2222222222222222}",neutral
video says face masks are ineffective in mitigating transmission of covid 19 and are harmful to the wearer ,1,"['video', 'says', 'face', 'masks', 'ineffective', 'mitigating', 'transmission', 'covid', '19', 'harmful', 'wearer']","['video', 'say', 'face', 'mask', 'ineffect', 'mitig', 'transmiss', 'covid', '19', 'harm', 'wearer']",-0.5423,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",disapproval
claim that secretary of education betsy devos said only 02 of kids are likely to die when they go back to school during the pandemic ,1,"['claim', 'secretary', 'education', 'betsy', 'devos', 'said', '02', 'kids', 'likely', 'die', 'go', 'back', 'school', 'pandemic']","['claim', 'secretari', 'educ', 'betsi', 'devo', 'said', '02', 'kid', 'like', 'die', 'go', 'back', 'school', 'pandem']",-0.2382,"{'fear': 0.2857142857142857, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.2857142857142857, 'sadness': 0.2857142857142857, 'disgust': 0.0, 'joy': 0.0}",neutral
deaths from covid 19 are nearing zero in the u s ,1,"['deaths', 'covid', '19', 'nearing', 'zero', 'u']","['death', 'covid', '19', 'near', 'zero', 'u']",-0.5994,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
articles shared hundreds of times on facebook in multiple countries claim that holy communion has been banned in toronto as part of the canadian city s response to the coronavirus pandemic ,1,"['articles', 'shared', 'hundreds', 'times', 'facebook', 'multiple', 'countries', 'claim', 'holy', 'communion', 'banned', 'toronto', 'part', 'canadian', 'city', 'response', 'coronavirus', 'pandemic']","['articl', 'share', 'hundr', 'time', 'facebook', 'multipl', 'countri', 'claim', 'holi', 'communion', 'ban', 'toronto', 'part', 'canadian', 'citi', 'respons', 'coronaviru', 'pandem']",-0.2614,"{'fear': 0.14285714285714285, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.0, 'positive': 0.2857142857142857, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.0, 'joy': 0.14285714285714285}",neutral
nasal swabs used to obtain samples for covid 19 tests reach the blood brain barrier and may damage it ,1,"['nasal', 'swabs', 'used', 'obtain', 'samples', 'covid', '19', 'tests', 'reach', 'blood', 'brain', 'barrier', 'may', 'damage']","['nasal', 'swab', 'use', 'obtain', 'sampl', 'covid', '19', 'test', 'reach', 'blood', 'brain', 'barrier', 'may', 'damag']",-0.1022,"{'fear': 0.0, 'anger': 0.3333333333333333, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",neutral
no one has died from the coronavirus there are no antibodies that identify sars cov 2 pathologists have no means of verifying whether a person was infected with sars cov 2 sars cov 2 has not fulfilled koch s postulates ,1,"['one', 'died', 'coronavirus', 'antibodies', 'identify', 'sars', 'cov', '2', 'pathologists', 'means', 'verifying', 'whether', 'person', 'infected', 'sars', 'cov', '2', 'sars', 'cov', '2', 'fulfilled', 'koch', 'postulates']","['one', 'die', 'coronaviru', 'antibodi', 'identifi', 'sar', 'cov', '2', 'pathologist', 'mean', 'verifi', 'whether', 'person', 'infect', 'sar', 'cov', '2', 'sar', 'cov', '2', 'fulfil', 'koch', 'postul']",-0.5994,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
infant deaths decreased dramatically during the lockdown when the number of vaccines administered was reduced vaccines are a cause of sudden infant death syndrome,1,"['infant', 'deaths', 'decreased', 'dramatically', 'lockdown', 'number', 'vaccines', 'administered', 'reduced', 'vaccines', 'cause', 'sudden', 'infant', 'death', 'syndrome']","['infant', 'death', 'decreas', 'dramat', 'lockdown', 'number', 'vaccin', 'administ', 'reduc', 'vaccin', 'caus', 'sudden', 'infant', 'death', 'syndrom']",-1.1216,"{'fear': 0.16666666666666666, 'anger': 0.05555555555555555, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.2222222222222222, 'positive': 0.1111111111111111, 'negative': 0.05555555555555555, 'sadness': 0.05555555555555555, 'disgust': 0.05555555555555555, 'joy': 0.1111111111111111, 'anticipation': 0.16666666666666666}",approval
ghislaine maxwell the recently arrested associate of jeffrey epstein has tested positive for covid 19 while in jail ,1,"['ghislaine', 'maxwell', 'recently', 'arrested', 'associate', 'jeffrey', 'epstein', 'tested', 'positive', 'covid', '19', 'jail']","['ghislain', 'maxwel', 'recent', 'arrest', 'associ', 'jeffrey', 'epstein', 'test', 'posit', 'covid', '19', 'jail']",-0.34,"{'fear': 0.2, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.2, 'surprise': 0.0, 'positive': 0.2, 'negative': 0.2, 'sadness': 0.2, 'disgust': 0.0, 'joy': 0.0}",neutral
india s ministry of home affairs banning citizens from posting about the new coronavirus on social media ,1,"['india', 'ministry', 'home', 'affairs', 'banning', 'citizens', 'posting', 'new', 'coronavirus', 'social', 'media']","['india', 'ministri', 'home', 'affair', 'ban', 'citizen', 'post', 'new', 'coronaviru', 'social', 'media']",-0.5574,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.3333333333333333, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.3333333333333333}",neutral
news photo from stay at home protest was doctored to add confederate flag ,1,"['news', 'photo', 'stay', 'home', 'protest', 'doctored', 'add', 'confederate', 'flag']","['news', 'photo', 'stay', 'home', 'protest', 'doctor', 'add', 'confeder', 'flag']",-0.25,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
 my wife is suffering from coronavirus and she is pregnant the doctor said she won t survive it ,1,"['wife', 'suffering', 'coronavirus', 'pregnant', 'doctor', 'said', 'survive']","['wife', 'suffer', 'coronaviru', 'pregnant', 'doctor', 'said', 'surviv']",-0.5423,"{'fear': 0.14285714285714285, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.0, 'positive': 0.2857142857142857, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0}",sadness
a democratic attack ad said trump shipped 17 tons of medical supplies to china ,1,"['democratic', 'attack', 'ad', 'said', 'trump', 'shipped', '17', 'tons', 'medical', 'supplies', 'china']","['democrat', 'attack', 'ad', 'said', 'trump', 'ship', '17', 'ton', 'medic', 'suppli', 'china']",-0.4767,"{'fear': 0.2222222222222222, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.1111111111111111, 'surprise': 0.1111111111111111, 'positive': 0.2222222222222222, 'negative': 0.1111111111111111, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.1111111111111111}",neutral
goodwill industries international has fired all its employees because of the coronavirus pandemic ,1,"['goodwill', 'industries', 'international', 'fired', 'employees', 'coronavirus', 'pandemic']","['goodwil', 'industri', 'intern', 'fire', 'employe', 'coronaviru', 'pandem']",-0.34,"{'fear': 0.25, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.25, 'negative': 0.25, 'sadness': 0.25, 'disgust': 0.0, 'joy': 0.0}",neutral
trump s claim that obama s handling of the 2009 swine flu pandemic was a disaster ,1,"['trump', 'claim', 'obama', 'handling', '2009', 'swine', 'flu', 'pandemic', 'disaster']","['trump', 'claim', 'obama', 'handl', '2009', 'swine', 'flu', 'pandem', 'disast']",-0.3818,"{'fear': 0.21428571428571427, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.14285714285714285, 'positive': 0.0, 'negative': 0.2857142857142857, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0}",disapproval
in the united states there are 360 000 deaths a year from swimming pools but we don t shut the country down for that ,1,"['united', 'states', '360', '000', 'deaths', 'year', 'swimming', 'pools', 'shut', 'country']","['unit', 'state', '360', '000', 'death', 'year', 'swim', 'pool', 'shut', 'countri']",-0.5994,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",sadness
a video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered manmade ,1,"['video', 'argues', 'pandemic', 'could', 'resulted', 'accidental', 'intentional', 'release', 'either', 'natural', 'virus', 'study', 'artificial', 'virus', 'bioengineered', 'manmade']","['video', 'argu', 'pandem', 'could', 'result', 'accident', 'intent', 'releas', 'either', 'natur', 'viru', 'studi', 'artifici', 'viru', 'bioengin', 'manmad']",-0.4767,"{'fear': 0.2222222222222222, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.1111111111111111, 'positive': 0.1111111111111111, 'negative': 0.4444444444444444, 'sadness': 0.1111111111111111, 'disgust': 0.0, 'joy': 0.0}",neutral
thieves are handing out chemically doused face masks to knock people out before robbing them ,1,"['thieves', 'handing', 'chemically', 'doused', 'face', 'masks', 'knock', 'people', 'robbing']","['thiev', 'hand', 'chemic', 'dous', 'face', 'mask', 'knock', 'peopl', 'rob']",-0.0635,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
the news media has tried to pass off one man s death attributed to complications from covid 19 as two separate cases ,1,"['news', 'media', 'tried', 'pass', 'one', 'man', 'death', 'attributed', 'complications', 'covid', '19', 'two', 'separate', 'cases']","['news', 'media', 'tri', 'pass', 'one', 'man', 'death', 'attribut', 'complic', 'covid', '19', 'two', 'separ', 'case']",-0.5994,"{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.14285714285714285, 'positive': 0.0, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",neutral
 michigan governor gretchen whitmer bans buying us flags during lockdown ,1,"['michigan', 'governor', 'gretchen', 'whitmer', 'bans', 'buying', 'us', 'flags', 'lockdown']","['michigan', 'governor', 'gretchen', 'whitmer', 'ban', 'buy', 'us', 'flag', 'lockdown']",-0.5574,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
joe diffie s death was labeled as a covid 19 death and it wasn t ,1,"['joe', 'diffie', 'death', 'labeled', 'covid', '19', 'death']","['joe', 'diffi', 'death', 'label', 'covid', '19', 'death']",-1.1988,"{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.14285714285714285, 'positive': 0.0, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",neutral
average american has less than two tenths of one percent chance of getting coronavirus and thus public health officials overreacted to the pandemic ,1,"['average', 'american', 'less', 'two', 'tenths', 'one', 'percent', 'chance', 'getting', 'coronavirus', 'thus', 'public', 'health', 'officials', 'overreacted', 'pandemic']","['averag', 'american', 'less', 'two', 'tenth', 'one', 'percent', 'chanc', 'get', 'coronaviru', 'thu', 'public', 'health', 'offici', 'overreact', 'pandem']",-0.25,"{'fear': 0.16666666666666666, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.16666666666666666, 'positive': 0.16666666666666666, 'negative': 0.16666666666666666, 'sadness': 0.16666666666666666, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.16666666666666666}",neutral
says american niaid director dr anthony fauci stands to lose 100 million dollars on bill gates vaccine for the coronavirus because he invested in this vaccine ,1,"['says', 'american', 'niaid', 'director', 'dr', 'anthony', 'fauci', 'stands', 'lose', '100', 'million', 'dollars', 'bill', 'gates', 'vaccine', 'coronavirus', 'invested', 'vaccine']","['say', 'american', 'niaid', 'director', 'dr', 'anthoni', 'fauci', 'stand', 'lose', '100', 'million', 'dollar', 'bill', 'gate', 'vaccin', 'coronaviru', 'invest', 'vaccin']",-0.4019,"{'fear': 0.1, 'anger': 0.1, 'anticip': 0.0, 'trust': 0.1, 'surprise': 0.1, 'positive': 0.3, 'negative': 0.1, 'sadness': 0.1, 'disgust': 0.1, 'joy': 0.0}",neutral
numbers in a photo about death tolls from covid 19 show that the pandemic is a con ,1,"['numbers', 'photo', 'death', 'tolls', 'covid', '19', 'show', 'pandemic', 'con']","['number', 'photo', 'death', 'toll', 'covid', '19', 'show', 'pandem', 'con']",-0.5222,"{'fear': 0.16666666666666666, 'anger': 0.08333333333333333, 'anticip': 0.0, 'trust': 0.08333333333333333, 'surprise': 0.08333333333333333, 'positive': 0.08333333333333333, 'negative': 0.16666666666666666, 'sadness': 0.16666666666666666, 'disgust': 0.08333333333333333, 'joy': 0.0, 'anticipation': 0.08333333333333333}",sadness
michigan gov gretchen whitmer banned sale of american flags during covid 19 pandemic ,1,"['michigan', 'gov', 'gretchen', 'whitmer', 'banned', 'sale', 'american', 'flags', 'covid', '19', 'pandemic']","['michigan', 'gov', 'gretchen', 'whitmer', 'ban', 'sale', 'american', 'flag', 'covid', '19', 'pandem']",-0.5574,"{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",neutral
dr anthony fauci was telling people on february 29th that there was nothing to worry about and it posed no threat to the us public at large ,1,"['dr', 'anthony', 'fauci', 'telling', 'people', 'february', '29th', 'nothing', 'worry', 'posed', 'threat', 'us', 'public', 'large']","['dr', 'anthoni', 'fauci', 'tell', 'peopl', 'februari', '29th', 'noth', 'worri', 'pose', 'threat', 'us', 'public', 'larg']",-0.5267,"{'fear': 0.2222222222222222, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.1111111111111111, 'negative': 0.2222222222222222, 'sadness': 0.1111111111111111, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.2222222222222222}",neutral
says michigan covid 19 order bans gardening and the sale of vegetable seeds and fruit ,1,"['says', 'michigan', 'covid', '19', 'order', 'bans', 'gardening', 'sale', 'vegetable', 'seeds', 'fruit']","['say', 'michigan', 'covid', '19', 'order', 'ban', 'garden', 'sale', 'veget', 'seed', 'fruit']",-0.5574,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
